food_name,rating,food_price,vendor,location,cuisine_type,main_ingridinet,serving_size
beef_bhuna,3.9,229,Shopnar Shopno,shewrapara,local,beef,
egg_omlet,3.9,57,Shopnar Shopno,shewrapara,local,egg,
special_naan,4.3,30,Star Kabab & Restaurant,banani,local,flour,
deshi_chicken_jhal_fry,4.3,140,Star Kabab & Restaurant,banani,local,chicken,
basmati_kacchi,4.3,460,Sultan's dine,Bashundhara R/A,biriyani,mutton,
morog_polao,4.3,299,Sultan's dine,Bashundhara R/A,biriyani,chicken,
mutton_tehari,4.3,230,Sultan's dine,Bashundhara R/A,biriyani,mutton,
beef_rezala,4.3,200,Sultan's dine,Bashundhara R/A,local,beef,
chicken_roast,4.3,150,Sultan's dine,Bashundhara R/A,local,chicken,
jali_kabab,4.3,60,Sultan's dine,Bashundhara R/A,local,beef,
plain_polao,4.3,120,Sultan's dine,Bashundhara R/A,local,rice,
firni,4.3,70,Sultan's dine,Bashundhara R/A,dessert,rice,
borhani,4.3,70,Sultan's dine,Bashundhara R/A,beverage,yogurt,
zafrani_sarbat,4.3,90,Sultan's dine,Bashundhara R/A,beverage,yogurt,
basmati_kacchi,4.3,290,Kacchi Bhai,Bashundhara R/A,biriyani,mutton,
chui_jhal_gosto,4.3,160,Kacchi Bhai,Bashundhara R/A,local,beef,
plain_polao,4.3,120,Kacchi Bhai,Bashundhara R/A,local,rice,
beef_rezala,4.3,200,Kacchi Bhai,Bashundhara R/A,local,beef,
chicken_roast,4.3,150,Kacchi Bhai,Bashundhara R/A,local,chicken,
jali_kabab,4.3,60,Kacchi Bhai,Bashundhara R/A,local,beef,
basmati_kacchi,4.3,290,Kacchi Bhai,Bashundhara R/A,biriyani,mutton,
badam_sarbat,4.3,90,Kacchi Bhai,Bashundhara R/A,beverage,yogurt,
borhani,4.3,70,Kacchi Bhai,Bashundhara R/A,beverage,yogurt,
firni,4.3,70,Kacchi Bhai,Bashundhara R/A,dessert,rice,
jorda,4.3,70,Kacchi Bhai,Bashundhara R/A,dessert,rice,
big_king_chicken,4.7,369,Burger King,Bashundhara R/A,burger,chicken,
chick'N_crisp,4.7,269,Burger King,Bashundhara R/A,burger,chicken,
creamy_cheese_burger,4.7,379,Burger King,Bashundhara R/A,burger,chicken,
crispy_king_chicken_burger,4.7,529,Burger King,Bashundhara R/A,burger,chicken,
double_whopper,4.7,629,Burger King,Bashundhara R/A,burger,chicken,
fish_n_crisp_burger,4.7,319,Burger King,Bashundhara R/A,burger,fish,
incredible_crispy_king,4.7,699,Burger King,Bashundhara R/A,burger,chicken,
